Number of Nodes,Start Node Position,End Node Position,Length,Width
140,(12/6),(18/0),20,7
Position,North,East,South,West,Is Wall
(0/0),x,(1/0),(0/1),x,1
(0/1),(0/0),(1/1),(0/2),x,1
(0/2),(0/1),(1/2),(0/3),x,1
(0/3),(0/2),(1/3),(0/4),x,1
(0/4),(0/3),(1/4),(0/5),x,1
(0/5),(0/4),(1/5),(0/6),x,1
(0/6),(0/5),(1/6),x,x,1
(1/0),x,(2/0),(1/1),(0/0),1
(1/1),(1/0),(2/1),(1/2),(0/1),0
(1/2),(1/1),(2/2),(1/3),(0/2),0
(1/3),(1/2),(2/3),(1/4),(0/3),0
(1/4),(1/3),(2/4),(1/5),(0/4),0
(1/5),(1/4),(2/5),(1/6),(0/5),0
(1/6),(1/5),(2/6),x,(0/6),1
(2/0),x,(3/0),(2/1),(1/0),1
(2/1),(2/0),(3/1),(2/2),(1/1),0
(2/2),(2/1),(3/2),(2/3),(1/2),1
(2/3),(2/2),(3/3),(2/4),(1/3),1
(2/4),(2/3),(3/4),(2/5),(1/4),1
(2/5),(2/4),(3/5),(2/6),(1/5),1
(2/6),(2/5),(3/6),x,(1/6),1
(3/0),x,(4/0),(3/1),(2/0),1
(3/1),(3/0),(4/1),(3/2),(2/1),0
(3/2),(3/1),(4/2),(3/3),(2/2),1
(3/3),(3/2),(4/3),(3/4),(2/3),1
(3/4),(3/3),(4/4),(3/5),(2/4),0
(3/5),(3/4),(4/5),(3/6),(2/5),1
(3/6),(3/5),(4/6),x,(2/6),1
(4/0),x,(5/0),(4/1),(3/0),1
(4/1),(4/0),(5/1),(4/2),(3/1),0
(4/2),(4/1),(5/2),(4/3),(3/2),1
(4/3),(4/2),(5/3),(4/4),(3/3),1
(4/4),(4/3),(5/4),(4/5),(3/4),0
(4/5),(4/4),(5/5),(4/6),(3/5),1
(4/6),(4/5),(5/6),x,(3/6),1
(5/0),x,(6/0),(5/1),(4/0),1
(5/1),(5/0),(6/1),(5/2),(4/1),0
(5/2),(5/1),(6/2),(5/3),(4/2),1
(5/3),(5/2),(6/3),(5/4),(4/3),1
(5/4),(5/3),(6/4),(5/5),(4/4),0
(5/5),(5/4),(6/5),(5/6),(4/5),1
(5/6),(5/5),(6/6),x,(4/6),1
(6/0),x,(7/0),(6/1),(5/0),1
(6/1),(6/0),(7/1),(6/2),(5/1),1
(6/2),(6/1),(7/2),(6/3),(5/2),1
(6/3),(6/2),(7/3),(6/4),(5/3),1
(6/4),(6/3),(7/4),(6/5),(5/4),0
(6/5),(6/4),(7/5),(6/6),(5/5),1
(6/6),(6/5),(7/6),x,(5/6),1
(7/0),x,(8/0),(7/1),(6/0),1
(7/1),(7/0),(8/1),(7/2),(6/1),0
(7/2),(7/1),(8/2),(7/3),(6/2),0
(7/3),(7/2),(8/3),(7/4),(6/3),0
(7/4),(7/3),(8/4),(7/5),(6/4),0
(7/5),(7/4),(8/5),(7/6),(6/5),1
(7/6),(7/5),(8/6),x,(6/6),1
(8/0),x,(9/0),(8/1),(7/0),1
(8/1),(8/0),(9/1),(8/2),(7/1),0
(8/2),(8/1),(9/2),(8/3),(7/2),0
(8/3),(8/2),(9/3),(8/4),(7/3),1
(8/4),(8/3),(9/4),(8/5),(7/4),0
(8/5),(8/4),(9/5),(8/6),(7/5),1
(8/6),(8/5),(9/6),x,(7/6),1
(9/0),x,(10/0),(9/1),(8/0),1
(9/1),(9/0),(10/1),(9/2),(8/1),0
(9/2),(9/1),(10/2),(9/3),(8/2),1
(9/3),(9/2),(10/3),(9/4),(8/3),1
(9/4),(9/3),(10/4),(9/5),(8/4),0
(9/5),(9/4),(10/5),(9/6),(8/5),1
(9/6),(9/5),(10/6),x,(8/6),1
(10/0),x,(11/0),(10/1),(9/0),1
(10/1),(10/0),(11/1),(10/2),(9/1),0
(10/2),(10/1),(11/2),(10/3),(9/2),1
(10/3),(10/2),(11/3),(10/4),(9/3),1
(10/4),(10/3),(11/4),(10/5),(9/4),0
(10/5),(10/4),(11/5),(10/6),(9/5),1
(10/6),(10/5),(11/6),x,(9/6),1
(11/0),x,(12/0),(11/1),(10/0),1
(11/1),(11/0),(12/1),(11/2),(10/1),0
(11/2),(11/1),(12/2),(11/3),(10/2),1
(11/3),(11/2),(12/3),(11/4),(10/3),1
(11/4),(11/3),(12/4),(11/5),(10/4),0
(11/5),(11/4),(12/5),(11/6),(10/5),1
(11/6),(11/5),(12/6),x,(10/6),1
(12/0),x,(13/0),(12/1),(11/0),1
(12/1),(12/0),(13/1),(12/2),(11/1),0
(12/2),(12/1),(13/2),(12/3),(11/2),1
(12/3),(12/2),(13/3),(12/4),(11/3),1
(12/4),(12/3),(13/4),(12/5),(11/4),0
(12/5),(12/4),(13/5),(12/6),(11/5),0
(12/6),(12/5),(13/6),x,(11/6),0
(13/0),x,(14/0),(13/1),(12/0),1
(13/1),(13/0),(14/1),(13/2),(12/1),0
(13/2),(13/1),(14/2),(13/3),(12/2),1
(13/3),(13/2),(14/3),(13/4),(12/3),1
(13/4),(13/3),(14/4),(13/5),(12/4),0
(13/5),(13/4),(14/5),(13/6),(12/5),1
(13/6),(13/5),(14/6),x,(12/6),1
(14/0),x,(15/0),(14/1),(13/0),1
(14/1),(14/0),(15/1),(14/2),(13/1),1
(14/2),(14/1),(15/2),(14/3),(13/2),1
(14/3),(14/2),(15/3),(14/4),(13/3),1
(14/4),(14/3),(15/4),(14/5),(13/4),0
(14/5),(14/4),(15/5),(14/6),(13/5),0
(14/6),(14/5),(15/6),x,(13/6),1
(15/0),x,(16/0),(15/1),(14/0),1
(15/1),(15/0),(16/1),(15/2),(14/1),1
(15/2),(15/1),(16/2),(15/3),(14/2),0
(15/3),(15/2),(16/3),(15/4),(14/3),0
(15/4),(15/3),(16/4),(15/5),(14/4),0
(15/5),(15/4),(16/5),(15/6),(14/5),0
(15/6),(15/5),(16/6),x,(14/6),1
(16/0),x,(17/0),(16/1),(15/0),1
(16/1),(16/0),(17/1),(16/2),(15/1),1
(16/2),(16/1),(17/2),(16/3),(15/2),1
(16/3),(16/2),(17/3),(16/4),(15/3),1
(16/4),(16/3),(17/4),(16/5),(15/4),1
(16/5),(16/4),(17/5),(16/6),(15/5),0
(16/6),(16/5),(17/6),x,(15/6),1
(17/0),x,(18/0),(17/1),(16/0),1
(17/1),(17/0),(18/1),(17/2),(16/1),1
(17/2),(17/1),(18/2),(17/3),(16/2),1
(17/3),(17/2),(18/3),(17/4),(16/3),1
(17/4),(17/3),(18/4),(17/5),(16/4),1
(17/5),(17/4),(18/5),(17/6),(16/5),0
(17/6),(17/5),(18/6),x,(16/6),1
(18/0),x,(19/0),(18/1),(17/0),0
(18/1),(18/0),(19/1),(18/2),(17/1),0
(18/2),(18/1),(19/2),(18/3),(17/2),0
(18/3),(18/2),(19/3),(18/4),(17/3),0
(18/4),(18/3),(19/4),(18/5),(17/4),0
(18/5),(18/4),(19/5),(18/6),(17/5),0
(18/6),(18/5),(19/6),x,(17/6),1
(19/0),x,x,(19/1),(18/0),1
(19/1),(19/0),x,(19/2),(18/1),1
(19/2),(19/1),x,(19/3),(18/2),1
(19/3),(19/2),x,(19/4),(18/3),1
(19/4),(19/3),x,(19/5),(18/4),1
(19/5),(19/4),x,(19/6),(18/5),1
(19/6),(19/5),x,x,(18/6),1
